dataset,model,model_raw,seed,stage,method,lambda_steck,F_in,InputGain,NDCG@10,Recall@10,F_out,Tail,Tail/Head,l_exp_mean,l_exp_median,l_exp_p90,l_exp_p95,n_users,E_out,T,checkpoint,delta_F_out_vs_lam0,RelativeUtilityLoss
lastfm,ngcf,weighted_ngcf,0,POST_LEARNING,steck_catalog,0.1,0.6032541089172111,0.0,0.1543831910529251,0.1633669497523,0.8169490730021145,0.0139065817409766,0.0151664254703328,0.8310667528542254,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9169320594479831, 0.053874734607218686, 0.015286624203821656, 0.013906581740976646]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-53-03.pth,0.0391719745222929,0.0121466877567004
lastfm,ngcf,weighted_ngcf,0,POST_LEARNING,steck_catalog,0.25,0.6032541089172111,0.0,0.1525235304843196,0.1626238499646143,0.8001762492229212,0.0178343949044585,0.0198124889439235,0.8134972691018083,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9001592356687899, 0.06268577494692144, 0.019320594479830148, 0.017834394904458598]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-53-03.pth,0.0559447983014862,0.024046116961499
lastfm,ngcf,weighted_ngcf,0,POST_LEARNING,steck_catalog,0.5,0.6032541089172111,0.0,0.148971642016525,0.159226822363765,0.7624904742759998,0.0216029723991507,0.0250476952427841,0.7917851564988105,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.8624734607218684, 0.09007430997876857, 0.025849256900212315, 0.021602972399150742]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-53-03.pth,0.0936305732484076,0.0467736222274499
lastfm,ngcf,weighted_ngcf,0,POST_LEARNING,steck_catalog,0.75,0.6032541089172111,0.0,0.1441700487982088,0.1561217268223637,0.7317049116433034,0.0250530785562632,0.0301231731444253,0.7862652274620678,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.831687898089172, 0.1143312101910828, 0.028927813163481954, 0.02505307855626327]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-53-03.pth,0.124416135881104,0.0774976261323347
lastfm,ngcf,weighted_ngcf,0,POST_LEARNING,steck_catalog,0.9,0.6032541089172111,0.0,0.1436745462958356,0.1558032554847841,0.719019136696382,0.0251592356687898,0.0307193778353856,0.7862652094009699,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.8190021231422505, 0.12600849256900212, 0.029830148619957537, 0.02515923566878981]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-53-03.pth,0.1371019108280254,0.0806682030899413
lastfm,ngcf,weighted_ngcf,0,POST_LEARNING,steck_catalog,1.0,0.6032541089172111,0.0,0.1428641085315006,0.1545293701344656,0.7094649965689934,0.025212314225053,0.0311475409836065,0.7862652395027997,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.809447983014862, 0.13540339702760085, 0.029936305732484077, 0.02521231422505308]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-53-03.pth,0.146656050955414,0.0858539595470088
lastfm,ngcf,weighted_ngcf,1,POST_LEARNING,steck_catalog,0.0,0.602904152661743,0.0,0.1497302900830787,0.159952229299363,0.8524055485859785,0.0081740976645435,0.0085827342138995,0.8739541089178117,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9523885350318472, 0.03423566878980892, 0.005201698513800424, 0.008174097664543524]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-54-22.pth,0.0,0.0
lastfm,ngcf,weighted_ngcf,1,POST_LEARNING,steck_catalog,0.1,0.602904152661743,0.0,0.1485162779811554,0.1582537154989384,0.8136051239575285,0.0139065817409766,0.0152219381826632,0.829421227304575,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.913588110403397, 0.058439490445859874, 0.014065817409766455, 0.013906581740976646]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-54-22.pth,0.03880042462845,0.0081079927197744
lastfm,ngcf,weighted_ngcf,1,POST_LEARNING,steck_catalog,0.25,0.602904152661743,0.0,0.1467649647090582,0.1577583156404812,0.7957176504968065,0.0180997876857749,0.0202074074074074,0.811161406251524,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.8957006369426752, 0.06809978768577495, 0.018099787685774946, 0.018099787685774946]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-54-22.pth,0.0566878980891719,0.0198044455291925
lastfm,ngcf,weighted_ngcf,1,POST_LEARNING,steck_catalog,0.5,0.602904152661743,0.0,0.1441372777175112,0.1564136588818117,0.7567579901995667,0.0219745222929936,0.0256489684653986,0.7889185743099186,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.8567409766454352, 0.09628450106157113, 0.025, 0.02197452229299363]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-54-22.pth,0.0956475583864118,0.0373539139105668
