InputGain,OutputGain,dataset,dataset_name,model,intervention_family,seed,intervention_parameter,realization_ratio,reversed_frozen
0.0630355432859616,0.006528662420382,lastfm,LastFM,NeuMF,inverse-power,2,0.1,0.1035711295572505,False
0.1323946669345214,0.0025477707006369,lastfm,LastFM,NeuMF,inverse-power,2,0.2,0.0192437562601895,False
0.2571152872796564,0.0253715498938429,lastfm,LastFM,NeuMF,inverse-power,2,0.4,0.09867771831959196,False
0.5043853412477096,0.0298301486199575,lastfm,LastFM,NeuMF,inverse-power,2,0.8,0.059141585174077374,False
0.5067784724855492,0.0248938428874734,lastfm,LastFM,NGCF,minimum-perturbation KL,0,0.1,0.04912174498135031,False
0.3875019064414419,0.0178343949044585,lastfm,LastFM,NGCF,minimum-perturbation KL,0,0.5,0.04602401848351572,False
0.1677256560444632,0.0058917197452229,lastfm,LastFM,NGCF,minimum-perturbation KL,0,2.0,0.03512712297074596,False
0.0392077642902811,0.000212314225053,lastfm,LastFM,NGCF,minimum-perturbation KL,0,8.0,0.0054151066477827435,False
0.0631224669717765,0.0017515923566878,lastfm,LastFM,NGCF,inverse-power,0,0.1,0.027749111223282465,False
0.1325571013296966,0.006475583864119,lastfm,LastFM,NGCF,inverse-power,0,0.2,0.048851278423876356,False
0.2582681543325761,0.0171974522292993,lastfm,LastFM,NGCF,inverse-power,0,0.4,0.06658758325718261,False
0.5048235617413357,0.0318471337579617,lastfm,LastFM,NGCF,inverse-power,0,0.8,0.06308567224578102,False
0.5065105930723104,0.0271231422505306,lastfm,LastFM,NGCF,minimum-perturbation KL,1,0.1,0.05354901283704929,False
0.3876643920727339,0.0194267515923566,lastfm,LastFM,NGCF,minimum-perturbation KL,1,0.5,0.050112292977147456,False
0.1678646939117058,0.0077494692144373,lastfm,LastFM,NGCF,minimum-perturbation KL,1,2.0,0.04616497390757701,False
0.0391313201721853,0.0024416135881104,lastfm,LastFM,NGCF,minimum-perturbation KL,1,8.0,0.062395379899447115,False
0.0629938730894987,0.0033439490445859,lastfm,LastFM,NGCF,inverse-power,1,0.1,0.05308371879015878,False
0.1322930568850213,0.0075902335456474,lastfm,LastFM,NGCF,inverse-power,1,0.2,0.05737439079848486,False
0.2565817590352239,0.0177813163481952,lastfm,LastFM,NGCF,inverse-power,1,0.4,0.06930078122098367,False
0.5038579953376617,0.0322186836518045,lastfm,LastFM,NGCF,inverse-power,1,0.8,0.0639439761796636,False
0.5068456495361711,0.0193736730360934,lastfm,LastFM,NGCF,minimum-perturbation KL,2,0.1,0.038224009723320705,False
0.3878238622080342,0.0164012738853503,lastfm,LastFM,NGCF,minimum-perturbation KL,2,0.5,0.04229052279550665,False
0.1678791863021119,0.0086518046709129,lastfm,LastFM,NGCF,minimum-perturbation KL,2,2.0,0.0515358982938081,False
0.0391606835696599,0.0024416135881103,lastfm,LastFM,NGCF,minimum-perturbation KL,2,8.0,0.062348594701292774,False
0.0630355432859616,0.0043524416135881,lastfm,LastFM,NGCF,inverse-power,2,0.1,0.06904741970483524,False
0.1323946669345214,0.0096602972399151,lastfm,LastFM,NGCF,inverse-power,2,0.2,0.07296590915321993,False
0.2571152872796564,0.0192144373673036,lastfm,LastFM,NGCF,inverse-power,2,0.4,0.07473082433408422,False
0.5043853412477096,0.0211783439490446,lastfm,LastFM,NGCF,inverse-power,2,0.8,0.04198842079084861,False
0.4155275210377668,0.2895198675496688,ml1m,MovieLens-1M,BPR,minimum-perturbation KL,0,0.1,0.6967525684618966,False
0.3097073730832871,0.1379966887417217,ml1m,MovieLens-1M,BPR,minimum-perturbation KL,0,0.5,0.44557120926085075,False
0.1101299941890081,0.0322682119205298,ml1m,MovieLens-1M,BPR,minimum-perturbation KL,0,2.0,0.29300112252026655,False
0.0216676015058061,0.0202649006622516,ml1m,MovieLens-1M,BPR,minimum-perturbation KL,0,8.0,0.935262754247228,False
0.0347782591090517,0.014503311258278,ml1m,MovieLens-1M,BPR,inverse-power,0,0.1,0.41702234757642714,False
0.0736462085067679,0.0386669304716154,ml1m,MovieLens-1M,BPR,inverse-power,0,0.2,0.5250362680661559,False
0.1634067766214311,0.0949748774914828,ml1m,MovieLens-1M,BPR,inverse-power,0,0.4,0.5812174957193708,False
0.3685994817315625,0.2755874602729399,ml1m,MovieLens-1M,BPR,inverse-power,0,0.8,0.7476610085785204,False
0.4152754099525115,0.2648344370860928,ml1m,MovieLens-1M,BPR,minimum-perturbation KL,1,0.1,0.6377320465865718,False
0.3093633907952406,0.1581291390728477,ml1m,MovieLens-1M,BPR,minimum-perturbation KL,1,0.5,0.5111436704464788,False
0.1099903482838854,0.0491887417218543,ml1m,MovieLens-1M,BPR,minimum-perturbation KL,1,2.0,0.44720961874671056,False
0.0216863022513934,0.003658940397351,ml1m,MovieLens-1M,BPR,minimum-perturbation KL,1,8.0,0.16872126722829864,False
0.0348141590386597,0.0188079470198676,ml1m,MovieLens-1M,BPR,inverse-power,1,0.1,0.5402384414623413,False
