dataset,model,model_raw,seed,label,family,user_group,F_out,OutputGain,l_exp_mean,l_exp_median,l_exp_p75,l_exp_p90,l_exp_p95,l_exp_std,n_users,delta_l_exp_mean,delta_l_exp_median,delta_l_exp_p75,delta_l_exp_p90,delta_l_exp_p95,delta_l_exp_std
lastfm,bpr,weighted_bpr,2,kl_lam8.0,kl,semi_niche,0.8656221090955327,0.0041401273885349,0.8991713475921865,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.009157043478946188,473,0.00021141649048628253,0.0,0.0,0.0,0.0,-0.0012183612990228927
lastfm,bpr,weighted_bpr,2,kl_lam8.0,kl,semi_mainstream,0.8656221090955327,0.0041401273885349,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,2,kl_lam8.0,kl,mainstream,0.8656221090955327,0.0041401273885349,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,2,legacy_a0.1,legacy,niche,0.8633397311762122,0.0064225053078554,0.8142062445231907,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.16189320437590835,465,0.01376442874400341,0.0,0.0,0.0,0.0,-0.009370102635142374
lastfm,bpr,weighted_bpr,2,legacy_a0.1,legacy,semi_niche,0.8633397311762122,0.0064225053078554,0.8989599311017004,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0121191633386609,473,0.00042283298097245403,0.0,0.0,0.0,0.0,-0.0041804811587376044
lastfm,bpr,weighted_bpr,2,legacy_a0.1,legacy,semi_mainstream,0.8633397311762122,0.0064225053078554,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,2,legacy_a0.1,legacy,mainstream,0.8633397311762122,0.0064225053078554,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,2,legacy_a0.2,legacy,niche,0.8573949328747259,0.0123673036093417,0.8023777387096165,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.162563152998419,465,0.025592934557577607,0.0,0.0,0.0,0.0,-0.010040051257653032
lastfm,bpr,weighted_bpr,2,legacy_a0.2,legacy,semi_niche,0.8573949328747259,0.0123673036093417,0.8985370501614491,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.013715091490522035,473,0.0008457139212236786,0.0,0.0,0.0,0.0,-0.005776409310598739
lastfm,bpr,weighted_bpr,2,legacy_a0.2,legacy,semi_mainstream,0.8573949328747259,0.0123673036093417,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,2,legacy_a0.2,legacy,mainstream,0.8573949328747259,0.0123673036093417,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,2,legacy_a0.4,legacy,niche,0.8406751876517959,0.0290870488322717,0.7673215238534298,0.8000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.16953041581059158,465,0.060649149413764314,0.10000000000000009,0.0,0.0,0.0,-0.017007314069825613
