dataset,model,model_raw,seed,label,family,F_out,OutputGain,l_exp_mean,l_exp_median,l_exp_p75,l_exp_p90,l_exp_p95,l_exp_std,n_users,delta_l_exp_mean,delta_l_exp_median,delta_l_exp_p75,delta_l_exp_p90,delta_l_exp_p95,delta_l_exp_std,delta_F_out
ml1m,itemknn,weighted_itemknn,2,kl_lam0.5,kl,0.5505978799729168,0.1945695364238411,0.6920916219002173,0.7000269759913677,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.21500922028612826,6040,0.12034661469173236,0.19989209603452918,0.0,0.0,0.0,-0.09576233938189271,0.19456953642384112
ml1m,itemknn,weighted_itemknn,2,kl_lam2.0,kl,0.6960614561318572,0.0491059602649006,0.7849301527269869,0.7999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.1427655490802233,6040,0.02750808386496284,0.09999999999999998,0.0,0.0,0.0,-0.023518668175987745,0.04910596026490066
ml1m,itemknn,weighted_itemknn,2,kl_lam8.0,kl,0.7323362905689433,0.0128311258278145,0.8060003671235911,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.12354701591360029,6040,0.006437869468358559,0.0,0.0,0.0,0.0,-0.004300135009364742,0.012831125827814538
ml1m,itemknn,weighted_itemknn,2,legacy_a0.1,legacy,0.7215415885821883,0.0236258278145695,0.8008039158063229,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.12639075692766555,6040,0.011634320785626762,0.0,0.0,0.0,0.0,-0.007143876023430001,0.023625827814569567
ml1m,itemknn,weighted_itemknn,2,legacy_a0.2,legacy,0.6923197342775526,0.0528476821192053,0.7857601423474828,0.7999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.13552301053700685,6040,0.026678094244466877,0.09999999999999998,0.0,0.0,0.0,-0.016276129632771308,0.05284768211920532
ml1m,itemknn,weighted_itemknn,2,legacy_a0.4,legacy,0.6238845918854075,0.1212828245113504,0.7439702093944337,0.7000269759913677,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.1605838710528245,6040,0.06846802719751599,0.19989209603452918,0.0,0.0,0.0,-0.041336990148588965,0.12128282451135042
ml1m,itemknn,weighted_itemknn,2,legacy_a0.8,legacy,0.377692538905275,0.3674748774914829,0.5907405668888464,0.6000269759913677,0.7000269759913677,0.8999190720258968,0.8999190720258968,0.21288457180581616,6040,0.22169766970310334,0.29989209603452915,0.19989209603452918,0.0,0.0,-0.09363769090158061,0.3674748774914829
ml1m,lightgcn,weighted_lightgcn,0,baseline,baseline,0.7906806614298704,0.0,0.8284240750897264,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.11029876136522344,6040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ml1m,lightgcn,weighted_lightgcn,0,kl_lam0.1,kl,0.756260131628546,0.0344205298013243,0.8027844448573219,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.13971543262703864,6040,0.025639630232404453,0.0,0.0,0.0,0.0,-0.0294166712618152,0.03442052980132437
ml1m,lightgcn,weighted_lightgcn,0,kl_lam0.5,kl,0.7714919197080161,0.0191887417218542,0.8136097717402372,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.1278793303297376,6040,0.014814303349489188,0.0,0.0,0.0,0.0,-0.017580568964514168,0.019188741721854252
ml1m,lightgcn,weighted_lightgcn,0,kl_lam2.0,kl,0.7792733766616585,0.0114072847682118,0.820678535507372,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.1172244678562867,6040,0.007745539582354355,0.0,0.0,0.0,0.0,-0.006925706491063249,0.011407284768211845
ml1m,lightgcn,weighted_lightgcn,0,kl_lam8.0,kl,0.7865415885821884,0.004139072847682,0.8259251067874095,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.11235871700533007,6040,0.002498968302316884,0.0,0.0,0.0,0.0,-0.0020599556401066227,0.0041390728476820016
ml1m,lightgcn,weighted_lightgcn,0,legacy_a0.1,legacy,0.7836276812974201,0.0070529801324502,0.8242703038997279,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.11334303862483291,6040,0.00415377118999849,0.0,0.0,0.0,0.0,-0.003044277259609471,0.0070529801324502595
